operator,tenure_type,tenure_no,field,reservoir,basin,period,metric,value
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2005,Water (ML),16.53
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2005,No. of wells producing petroleum,78
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2005,Total gas produced (Mm3),41.1
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2005,Gas flared or vented (Mm3),0.78
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2005,Gas used in production (Mm3),2.61
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2005,Water (ML),16.2801
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2005,No. of wells producing petroleum,78
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2006,Total gas produced (Mm3),41.1
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2006,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2006,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2006,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2006,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2006,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2006,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2006,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2006,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2006,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2007,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2007,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2007,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2007,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2007,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2007,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2007,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2007,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2007,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2007,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2008,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2008,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2008,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2008,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2008,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2008,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2008,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2008,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2008,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2008,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2009,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2009,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2009,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2009,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2009,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2009,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2009,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2009,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2009,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2009,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2010,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2010,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2010,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2010,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2010,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2010,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2010,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2010,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2010,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2010,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Total gas produced (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Gas flared or vented (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Gas used in production (Mm3),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Water (ML),NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,No. of wells producing petroleum,NA
