operator,tenure_type,tenure_no,field,reservoir,basin,period,metric,value
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2013,Water (ML),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2013,No. of wells producing petroleum,NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2013,Total gas produced (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2013,Gas flared or vented (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2013,Gas used in production (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2013,Water (ML),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2013,No. of wells producing petroleum,NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2014,Total gas produced (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2014,Gas flared or vented (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2014,Gas used in production (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2014,Water (ML),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2014,No. of wells producing petroleum,NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2014,Total gas produced (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2014,Gas flared or vented (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2014,Gas used in production (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2014,Water (ML),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2014,No. of wells producing petroleum,NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2015,Total gas produced (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2015,Gas flared or vented (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2015,Gas used in production (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2015,Water (ML),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2015,No. of wells producing petroleum,NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2015,Total gas produced (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2015,Gas flared or vented (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2015,Gas used in production (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2015,Water (ML),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2015,No. of wells producing petroleum,NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2016,Total gas produced (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2016,Gas flared or vented (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2016,Gas used in production (Mm3),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2016,Water (ML),NA
QGC,PL,279,Broadwater,Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2016,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2005,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2005,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2005,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2005,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2005,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2005,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2005,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2005,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2005,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2005,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2006,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2006,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2006,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2006,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2006,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2006,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2006,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2006,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2006,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2006,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2007,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2007,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2007,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2007,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2007,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2007,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2007,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2007,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2007,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2007,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2008,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2008,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2008,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2008,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2008,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2008,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2008,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2008,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2008,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2008,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2009,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2009,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2009,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2009,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2009,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2009,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2009,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2009,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2009,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2009,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2010,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2010,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2010,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2010,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2010,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2010,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2010,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2010,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2010,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2010,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2011,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2011,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2011,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2011,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2011,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2011,Total gas produced (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2011,Gas flared or vented (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2011,Gas used in production (Mm3),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2011,Water (ML),NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2011,No. of wells producing petroleum,NA
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2012,Total gas produced (Mm3),3.98
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2012,Gas flared or vented (Mm3),3.98
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2012,Gas used in production (Mm3),0.15
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2012,Water (ML),126.0373
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2012,No. of wells producing petroleum,5
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2012,Total gas produced (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2012,Gas flared or vented (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2012,Gas used in production (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2012,Water (ML),0.0589
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2012,No. of wells producing petroleum,3
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2013,Total gas produced (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2013,Gas flared or vented (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2013,Gas used in production (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2013,Water (ML),0.0067
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2013,No. of wells producing petroleum,1
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2013,Total gas produced (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2013,Gas flared or vented (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2013,Gas used in production (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2013,Water (ML),0.0397
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2013,No. of wells producing petroleum,23
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2014,Total gas produced (Mm3),97.97
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2014,Gas flared or vented (Mm3),60.17
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2014,Gas used in production (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2014,Water (ML),2761.9058
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2014,No. of wells producing petroleum,231
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2014,Total gas produced (Mm3),347.73
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2014,Gas flared or vented (Mm3),31.47
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2014,Gas used in production (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2014,Water (ML),2557.23
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2014,No. of wells producing petroleum,288
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2015,Total gas produced (Mm3),605.57
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2015,Gas flared or vented (Mm3),22.12
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2015,Gas used in production (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2015,Water (ML),1824.9135
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2015,No. of wells producing petroleum,288
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2015,Total gas produced (Mm3),967.35
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2015,Gas flared or vented (Mm3),3.59
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2015,Gas used in production (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2015,Water (ML),1732.6235
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2015,No. of wells producing petroleum,293
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2016,Total gas produced (Mm3),1024.05
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2016,Gas flared or vented (Mm3),2.25
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2016,Gas used in production (Mm3),0
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2016,Water (ML),1235.704
QGC,PL,279,"Broadwater, Harry, Glendower",Walloon Coal Measures,Surat,Production for 6-month period ending 30/06/2016,No. of wells producing petroleum,289
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2005,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2005,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2005,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2005,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2005,No. of wells producing petroleum,NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2005,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2005,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2005,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2005,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2005,No. of wells producing petroleum,NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2006,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2006,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2006,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2006,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2006,No. of wells producing petroleum,NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2006,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2006,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2006,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2006,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2006,No. of wells producing petroleum,NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2007,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2007,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2007,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2007,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2007,No. of wells producing petroleum,NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2007,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2007,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2007,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2007,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2007,No. of wells producing petroleum,NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2008,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2008,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2008,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2008,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2008,No. of wells producing petroleum,NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2008,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2008,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2008,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2008,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2008,No. of wells producing petroleum,NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2009,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2009,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2009,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2009,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2009,No. of wells producing petroleum,NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2009,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2009,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2009,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2009,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 31/12/2009,No. of wells producing petroleum,NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2010,Total gas produced (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2010,Gas flared or vented (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2010,Gas used in production (Mm3),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2010,Water (ML),NA
QGC,PL,274,Broadwater (Mini),Walloon Coal Measures,Surat,Production for 6-month period ending 30/6/2010,No. of wells producing petroleum,NA
