operator,tenure_type,tenure_no,field,reservoir,basin,period,metric,value,date_str,date_parsed,time_period,year,half_year,fractional_year
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,Water (ML),NA,31/12/2015,2015-12-31,H2 2015,2015,0.5,2015.5
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,No. of wells producing petroleum,NA,31/12/2015,2015-12-31,H2 2015,2015,0.5,2015.5
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Total gas produced (Mm3),NA,30/06/2016,2016-06-30,H1 2016,2016,NA,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Gas flared or vented (Mm3),NA,30/06/2016,2016-06-30,H1 2016,2016,NA,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Gas used in production (Mm3),NA,30/06/2016,2016-06-30,H1 2016,2016,NA,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Water (ML),NA,30/06/2016,2016-06-30,H1 2016,2016,NA,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,No. of wells producing petroleum,NA,30/06/2016,2016-06-30,H1 2016,2016,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Total gas produced (Mm3),NA,30/6/2011,2011-06-30,H1 2011,2011,0,2011
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Gas flared or vented (Mm3),NA,30/6/2011,2011-06-30,H1 2011,2011,0,2011
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Gas used in production (Mm3),NA,30/6/2011,2011-06-30,H1 2011,2011,0,2011
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Water (ML),NA,30/6/2011,2011-06-30,H1 2011,2011,0,2011
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,No. of wells producing petroleum,NA,30/6/2011,2011-06-30,H1 2011,2011,0,2011
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Total gas produced (Mm3),NA,31/12/2011,2011-12-31,H2 2011,2011,0.5,2011.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Gas flared or vented (Mm3),NA,31/12/2011,2011-12-31,H2 2011,2011,0.5,2011.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Gas used in production (Mm3),NA,31/12/2011,2011-12-31,H2 2011,2011,0.5,2011.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Water (ML),NA,31/12/2011,2011-12-31,H2 2011,2011,0.5,2011.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,No. of wells producing petroleum,NA,31/12/2011,2011-12-31,H2 2011,2011,0.5,2011.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Total gas produced (Mm3),NA,30/06/2012,2012-06-30,H1 2012,2012,NA,NA
